sent,word_num,word_len,word,orig,ent_type,pos1,pos2,pos3,係り受け,木の深さ
毒性の科学: 分子・細胞から人間集団まで,11,2,毒性,毒性,,名詞,普通名詞,一般,[],1
毒性の科学: 分子・細胞から人間集団まで,11,1,の,の,,助詞,格助詞,,[],1
毒性の科学: 分子・細胞から人間集団まで,11,2,科学,科学,,名詞,普通名詞,サ変可能,[],1
毒性の科学: 分子・細胞から人間集団まで,11,1,:,：,,補助記号,一般,,[],1
毒性の科学: 分子・細胞から人間集団まで,11,2,分子,分子,,名詞,普通名詞,一般,[],1
毒性の科学: 分子・細胞から人間集団まで,11,1,・,・,,補助記号,一般,,[],1
毒性の科学: 分子・細胞から人間集団まで,11,2,細胞,細胞,,名詞,普通名詞,一般,[],1
毒性の科学: 分子・細胞から人間集団まで,11,2,から,から,,助詞,格助詞,,[],1
毒性の科学: 分子・細胞から人間集団まで,11,2,人間,人間,,名詞,普通名詞,一般,[],1
毒性の科学: 分子・細胞から人間集団まで,11,2,集団,集団,,名詞,普通名詞,一般,[],1
毒性の科学: 分子・細胞から人間集団まで,11,2,まで,まで,,助詞,副助詞,,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,8,ノンデザイナーズ,ノンデザイナーズ,,名詞,普通名詞,一般,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,1,・,・,,補助記号,一般,,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,7,デザインブック,デザインブック,,名詞,普通名詞,一般,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,1,[,［,,補助記号,括弧開,,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,5,フルカラー,フルカラー,,名詞,普通名詞,一般,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,2,新装,新装,,名詞,普通名詞,一般,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,2,増補,増補,,名詞,普通名詞,サ変可能,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,1,版,版,,名詞,普通名詞,助数詞可能,[],1
ノンデザイナーズ・デザインブック [フルカラー新装増補版],9,1,],］,,補助記号,括弧閉,,[],1
人月の神話【新装版】,7,2,人月,人月,,名詞,普通名詞,一般,[],1
人月の神話【新装版】,7,1,の,の,,助詞,格助詞,,[],1
人月の神話【新装版】,7,2,神話,神話,,名詞,普通名詞,一般,[],1
人月の神話【新装版】,7,1,【,【,,補助記号,括弧開,,[],1
人月の神話【新装版】,7,2,新装,新装,,名詞,普通名詞,一般,[],1
人月の神話【新装版】,7,1,版,版,,名詞,普通名詞,助数詞可能,[],1
人月の神話【新装版】,7,1,】,】,,補助記号,括弧閉,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,2,戦争,戦争,,名詞,普通名詞,サ変可能,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,1,の,の,,助詞,格助詞,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,3,物理学,物理学,,名詞,普通名詞,一般,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,1,―,―,,補助記号,一般,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,2,弓矢,弓矢,,名詞,普通名詞,一般,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,2,から,から,,助詞,格助詞,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,2,水爆,水爆,,名詞,普通名詞,一般,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,2,まで,まで,,助詞,副助詞,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,2,兵器,兵器,,名詞,普通名詞,一般,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,1,は,は,,助詞,係助詞,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,3,いかに,如何に,,副詞,,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,4,生みださ,生み出す,,動詞,一般,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,1,れ,れる,,助動詞,,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,1,た,た,,助動詞,,,[],1
戦争の物理学―弓矢から水爆まで兵器はいかに生みだされたか,15,1,か,か,,助詞,終助詞,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,5,ソーシャル,ソーシャル,,名詞,普通名詞,一般,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,3,物理学,物理学,,名詞,普通名詞,一般,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,1,:,：,,補助記号,一般,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,1,「,「,,補助記号,括弧開,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,2,良い,良い,,形容詞,非自立可能,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,4,アイデア,アイディア,,名詞,普通名詞,一般,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,1,は,は,,助詞,係助詞,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,3,いかに,如何に,,副詞,,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,3,広がる,広がる,,動詞,一般,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,1,か,か,,助詞,終助詞,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,1,」,」,,補助記号,括弧閉,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,1,の,の,,助詞,格助詞,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,3,新しい,新しい,,形容詞,一般,,[],1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,14,2,科学,科学,,名詞,普通名詞,サ変可能,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,1,人,人,,名詞,普通名詞,一般,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,1,は,は,,助詞,係助詞,,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,2,原子,原子,,名詞,普通名詞,一般,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,1,、,、,,補助記号,読点,,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,2,世界,世界,,名詞,普通名詞,一般,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,1,は,は,,助詞,係助詞,,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,2,物理,物理,,名詞,普通名詞,一般,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,2,法則,法則,,名詞,普通名詞,一般,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,1,で,で,,助詞,格助詞,,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,2,動く,動く,,動詞,一般,,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,1,―,―,,補助記号,一般,,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,2,社会,社会,,名詞,普通名詞,一般,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,3,物理学,物理学,,名詞,普通名詞,一般,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,1,で,で,,助詞,格助詞,,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,4,読み解く,読み解く,,動詞,一般,,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,2,人間,人間,,名詞,普通名詞,一般,[],1
人は原子、世界は物理法則で動く―社会物理学で読み解く人間行動,17,2,行動,行動,,名詞,普通名詞,サ変可能,[],1
量子力学で生命の謎を解く,8,2,量子,量子,,名詞,普通名詞,一般,[],1
量子力学で生命の謎を解く,8,2,力学,力学,,名詞,普通名詞,一般,[],1
量子力学で生命の謎を解く,8,1,で,で,,助詞,格助詞,,[],1
量子力学で生命の謎を解く,8,2,生命,生命,,名詞,普通名詞,一般,[],1
量子力学で生命の謎を解く,8,1,の,の,,助詞,格助詞,,[],1
量子力学で生命の謎を解く,8,1,謎,謎,,名詞,普通名詞,一般,[],1
量子力学で生命の謎を解く,8,1,を,を,,助詞,格助詞,,[],1
量子力学で生命の謎を解く,8,2,解く,解く,,動詞,一般,,[],1
サイバーセキュリティ (別冊日経サイエンス),7,4,サイバー,サイバー,,形状詞,一般,,[],1
サイバーセキュリティ (別冊日経サイエンス),7,6,セキュリティ,セキュリティー,,名詞,普通名詞,一般,[],1
サイバーセキュリティ (別冊日経サイエンス),7,1,(,（,,補助記号,括弧開,,[],1
サイバーセキュリティ (別冊日経サイエンス),7,2,別冊,別冊,,名詞,普通名詞,一般,[],1
サイバーセキュリティ (別冊日経サイエンス),7,2,日経,日経,,名詞,固有名詞,一般,[],1
サイバーセキュリティ (別冊日経サイエンス),7,5,サイエンス,サイエンス,,名詞,普通名詞,一般,[],1
サイバーセキュリティ (別冊日経サイエンス),7,1,),）,,補助記号,括弧閉,,[],1
美貌格差: 生まれつき不平等の経済学,7,2,美貌,美貌,,名詞,普通名詞,一般,[],1
美貌格差: 生まれつき不平等の経済学,7,2,格差,格差,,名詞,普通名詞,一般,[],1
美貌格差: 生まれつき不平等の経済学,7,1,:,：,,補助記号,一般,,[],1
美貌格差: 生まれつき不平等の経済学,7,5,生まれつき,生まれ付く,,動詞,一般,,[],1
美貌格差: 生まれつき不平等の経済学,7,3,不平等,不平等,,名詞,普通名詞,形状詞可能,[],1
美貌格差: 生まれつき不平等の経済学,7,1,の,の,,助詞,格助詞,,[],1
美貌格差: 生まれつき不平等の経済学,7,3,経済学,経済学,,名詞,普通名詞,一般,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,2,人類,人類,,名詞,普通名詞,一般,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,1,が,が,,助詞,格助詞,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,2,絶滅,絶滅,,名詞,普通名詞,サ変可能,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,2,する,為る,,動詞,非自立可能,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,1,6,6,,名詞,数詞,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,1,の,の,,助詞,格助詞,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,4,シナリオ,シナリオ,,名詞,普通名詞,一般,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,1,:,：,,補助記号,一般,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,3,もはや,最早,,副詞,,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,2,空想,空想,,名詞,普通名詞,サ変可能,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,1,で,で,,助詞,格助詞,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,1,は,は,,助詞,係助詞,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,2,ない,無い,,形容詞,非自立可能,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,2,終焉,終焉,,名詞,普通名詞,サ変可能,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,1,の,の,,助詞,格助詞,,[],1
人類が絶滅する6のシナリオ: もはや空想ではない終焉の科学,16,2,科学,科学,,名詞,普通名詞,サ変可能,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,2,複雑,複雑,,名詞,普通名詞,形状詞可能,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,1,で,だ,,助動詞,,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,2,単純,単純,,形状詞,一般,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,1,な,だ,,助動詞,,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,2,世界,世界,,名詞,普通名詞,一般,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,1,:,：,,補助記号,一般,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,1,不,不,,接頭辞,,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,2,確実,確実,,形状詞,一般,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,1,な,だ,,助動詞,,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,4,できごと,出来事,,名詞,普通名詞,一般,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,1,を,を,,助詞,格助詞,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,3,複雑系,複雑系,,名詞,普通名詞,一般,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,1,で,で,,助詞,格助詞,,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,2,予測,予測,,名詞,普通名詞,サ変可能,[],1
複雑で単純な世界: 不確実なできごとを複雑系で予測する,15,2,する,為る,,動詞,非自立可能,,[],1
その数学が戦略を決める (文春文庫),10,2,その,其の,,連体詞,,,[],1
その数学が戦略を決める (文春文庫),10,2,数学,数学,,名詞,普通名詞,一般,[],1
その数学が戦略を決める (文春文庫),10,1,が,が,,助詞,格助詞,,[],1
その数学が戦略を決める (文春文庫),10,2,戦略,戦略,,名詞,普通名詞,一般,[],1
その数学が戦略を決める (文春文庫),10,1,を,を,,助詞,格助詞,,[],1
その数学が戦略を決める (文春文庫),10,3,決める,決める,,動詞,一般,,[],1
その数学が戦略を決める (文春文庫),10,1,(,（,,補助記号,括弧開,,[],1
その数学が戦略を決める (文春文庫),10,2,文春,文春,,名詞,固有名詞,一般,[],1
その数学が戦略を決める (文春文庫),10,2,文庫,文庫,,名詞,普通名詞,一般,[],1
その数学が戦略を決める (文春文庫),10,1,),）,,補助記号,括弧閉,,[],1
利己的な遺伝子 (科学選書),8,2,利己,利己,,名詞,普通名詞,一般,[],1
利己的な遺伝子 (科学選書),8,1,的,的,,接尾辞,形状詞的,,[],1
利己的な遺伝子 (科学選書),8,1,な,だ,,助動詞,,,[],1
利己的な遺伝子 (科学選書),8,3,遺伝子,遺伝子,,名詞,普通名詞,一般,[],1
利己的な遺伝子 (科学選書),8,1,(,（,,補助記号,括弧開,,[],1
利己的な遺伝子 (科学選書),8,2,科学,科学,,名詞,普通名詞,サ変可能,[],1
利己的な遺伝子 (科学選書),8,2,選書,選書,,名詞,普通名詞,一般,[],1
利己的な遺伝子 (科学選書),8,1,),）,,補助記号,括弧閉,,[],1
バイオパンク DIY科学者たちのDNAハック!,9,3,バイオ,バイオ,,名詞,普通名詞,一般,[],1
バイオパンク DIY科学者たちのDNAハック!,9,3,パンク,パンク,,名詞,普通名詞,サ変可能,[],1
バイオパンク DIY科学者たちのDNAハック!,9,3,DIY,DIY,,名詞,普通名詞,一般,[],1
バイオパンク DIY科学者たちのDNAハック!,9,3,科学者,科学者,,名詞,普通名詞,一般,[],1
バイオパンク DIY科学者たちのDNAハック!,9,2,たち,達,,接尾辞,名詞的,一般,[],1
バイオパンク DIY科学者たちのDNAハック!,9,1,の,の,,助詞,格助詞,,[],1
バイオパンク DIY科学者たちのDNAハック!,9,3,DNA,DNA,,名詞,普通名詞,一般,[],1
バイオパンク DIY科学者たちのDNAハック!,9,3,ハック,ハック,,名詞,固有名詞,人名,[],1
バイオパンク DIY科学者たちのDNAハック!,9,1,!,！,,補助記号,句点,,[],1
群衆心理 (講談社学術文庫),7,2,群衆,群集,,名詞,普通名詞,サ変可能,[],1
群衆心理 (講談社学術文庫),7,2,心理,心理,,名詞,普通名詞,一般,[],1
群衆心理 (講談社学術文庫),7,1,(,（,,補助記号,括弧開,,[],1
群衆心理 (講談社学術文庫),7,3,講談社,講談社,,名詞,固有名詞,一般,[],1
群衆心理 (講談社学術文庫),7,2,学術,学術,,名詞,普通名詞,一般,[],1
群衆心理 (講談社学術文庫),7,2,文庫,文庫,,名詞,普通名詞,一般,[],1
群衆心理 (講談社学術文庫),7,1,),）,,補助記号,括弧閉,,[],1
革命的群衆 (岩波文庫),6,3,革命的,革命的,,名詞,普通名詞,形状詞可能,[],1
革命的群衆 (岩波文庫),6,2,群衆,群集,,名詞,普通名詞,サ変可能,[],1
革命的群衆 (岩波文庫),6,1,(,（,,補助記号,括弧開,,[],1
革命的群衆 (岩波文庫),6,2,岩波,岩波,,名詞,固有名詞,一般,[],1
革命的群衆 (岩波文庫),6,2,文庫,文庫,,名詞,普通名詞,一般,[],1
革命的群衆 (岩波文庫),6,1,),）,,補助記号,括弧閉,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,2,経済,経済,,名詞,普通名詞,一般,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,は,は,,助詞,係助詞,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,「,「,,補助記号,括弧開,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,2,競争,競争,,名詞,普通名詞,サ変可能,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,」,」,,補助記号,括弧閉,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,で,で,,助詞,格助詞,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,は,は,,助詞,係助詞,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,2,繁栄,繁栄,,名詞,普通名詞,サ変可能,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,し,為る,,動詞,非自立可能,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,2,ない,ない,,助動詞,,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,―,―,,補助記号,一般,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,―,―,,補助記号,一般,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,2,信頼,信頼,,名詞,普通名詞,サ変可能,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,4,ホルモン,ホルモン,,名詞,普通名詞,一般,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,「,「,,補助記号,括弧開,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,6,オキシトシン,オキシトシン,,名詞,普通名詞,一般,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,」,」,,補助記号,括弧閉,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,が,が,,助詞,格助詞,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,5,解き明かす,解き明かす,,動詞,一般,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,愛,愛,,名詞,普通名詞,一般,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,と,と,,助詞,格助詞,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,2,共感,共感,,名詞,普通名詞,サ変可能,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,1,の,の,,助詞,格助詞,,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,2,神経,神経,,名詞,普通名詞,一般,[],1
経済は「競争」では繁栄しない――信頼ホルモン「オキシトシン」が解き明かす愛と共感の神経経済学,25,3,経済学,経済学,,名詞,普通名詞,一般,[],1
この世界を知るための 人類と科学の400万年史,13,2,この,此の,,連体詞,,,[],1
この世界を知るための 人類と科学の400万年史,13,2,世界,世界,,名詞,普通名詞,一般,[],1
この世界を知るための 人類と科学の400万年史,13,1,を,を,,助詞,格助詞,,[],1
この世界を知るための 人類と科学の400万年史,13,2,知る,知る,,動詞,一般,,[],1
この世界を知るための 人類と科学の400万年史,13,2,ため,為,,名詞,普通名詞,副詞可能,[],1
この世界を知るための 人類と科学の400万年史,13,1,の,の,,助詞,格助詞,,[],1
この世界を知るための 人類と科学の400万年史,13,2,人類,人類,,名詞,普通名詞,一般,[],1
この世界を知るための 人類と科学の400万年史,13,1,と,と,,助詞,格助詞,,[],1
この世界を知るための 人類と科学の400万年史,13,2,科学,科学,,名詞,普通名詞,サ変可能,[],1
